Iteration,Vowel,Consonant
10,0,0
20,0,0
30,0,0
40,0,0
50,0,0
60,0,0
70,0,0
80,0,0
90,0,0
100,0,0
110,5,5
120,10,10
130,15,15
140,19,21
150,23,27
160,28,32
170,33,37
180,37,43
190,40,50
200,45,55
210,49,61
220,53,67
230,56,74
240,60,80
250,65,85
260,70,90
270,74,96
280,77,103
290,82,108
300,87,113
310,92,118
320,96,124
330,101,129
340,103,137
350,107,143
360,111,149
370,116,154
380,120,160
390,126,164
400,132,168
410,137,173
420,142,178
430,145,185
440,149,191
450,154,196
460,159,201
470,164,206
480,169,211
490,174,216
500,178,222
510,182,228
520,187,233
530,192,238
540,197,243
550,202,248
560,205,255
570,209,261
580,214,266
590,218,272
600,222,278
610,228,282
620,230,290
630,236,294
640,239,301
650,241,309
660,246,314
670,251,319
680,257,323
690,261,329
700,267,333
710,271,339
720,276,344
730,279,351
740,283,357
750,289,361
760,293,367
770,297,373
780,301,379
790,306,384
800,310,390
810,314,396
820,319,401
830,325,405
840,329,411
850,335,415
860,341,419
870,346,424
880,351,429
890,355,435
900,357,443
910,362,448
920,366,454
930,370,460
940,375,465
950,380,470
960,385,475
970,389,481
980,393,487
990,399,491
1000,404,496
